product_id,product_name,category,sub_category,price,stock_quantity,supplier_id
1001,iPhone 14,Electronics,Mobile Phones,799.99,150,201
1002,"MacBook Pro 14""",Electronics,Laptops,1999.99,75,201
1003,Nike Air Max,Apparel,Shoes,129.99,200,202
1004,Samsung Galaxy S23,Electronics,Mobile Phones,899.99,120,203
1005,Amazon Echo Dot,Electronics,Smart Home,49.99,300,204
1006,Adidas Ultraboost,Apparel,Shoes,179.99,180,205
1007,Instant Pot,Home & Kitchen,Appliances,99.99,95,206
1008,Levi's 501 Jeans,Apparel,Pants,59.99,250,207
1009,Dyson V11 Vacuum,Home & Kitchen,Appliances,499.99,60,208
1010,The Ordinary Serum,Beauty,Skincare,12.99,500,209
1011,PlayStation 5,Electronics,Gaming,499.99,30,210
1012,Yeti Rambler,Home & Kitchen,Drinkware,39.99,400,211
1013,Lululemon Leggings,Apparel,Activewear,98,175,212
1014,Kindle Paperwhite,Electronics,E-readers,139.99,220,213
1015,Crest 3D Whitestrips,Beauty,Oral Care,49.99,300,214
1016,Bose QuietComfort 45,Electronics,Headphones,329.99,90,215
1017,KitchenAid Mixer,Home & Kitchen,Appliances,429.99,65,216
1018,Calvin Klein T-shirt,Apparel,Tops,29.99,350,217
1019,Nespresso Vertuo,Home & Kitchen,Coffee Makers,179.99,110,218
1020,Olaplex Hair Treatment,Beauty,Hair Care,28,400,219
1021,Apple Watch Series 8,Electronics,Wearables,399.99,85,201
1022,North Face Jacket,Apparel,Outerwear,199.99,120,220
1023,GoPro Hero 11,Electronics,Cameras,399.99,70,221
1024,Allbirds Wool Runners,Apparel,Shoes,95,180,222
1025,Yeti Tundra Cooler,Home & Kitchen,Coolers,299.99,50,211
1026,Dyson Airwrap,Beauty,Hair Tools,549.99,40,208
1027,Patagonia Fleece,Apparel,Outerwear,129,150,223
1028,Google Nest Hub,Electronics,Smart Home,89.99,200,224
1029,Staub Dutch Oven,Home & Kitchen,Cookware,249.99,60,225
1030,La Mer Moisturizer,Beauty,Skincare,335,80,226
1031,Sony WH-1000XM5,Electronics,Headphones,399.99,75,227
1032,UGG Slippers,Apparel,Footwear,99.95,200,228
1033,Vitamix Blender,Home & Kitchen,Appliances,449.99,55,229
1034,Chanel No. 5,Beauty,Fragrance,135,150,230
1035,Ray-Ban Aviator,Apparel,Accessories,153,250,231
1036,Weber Grill,Home & Kitchen,Outdoor,399,45,232
1037,Dr. Martens Boots,Apparel,Shoes,159.99,130,233
1038,Apple AirPods Pro,Electronics,Headphones,249.99,180,201
1039,All-Clad Pan Set,Home & Kitchen,Cookware,399.99,40,234
1040,Tom Ford Sunglasses,Apparel,Accessories,395,90,235
1041,Microsoft Surface Pro,Electronics,Laptops,999.99,60,236
1042,Cuisinart Food Processor,Home & Kitchen,Appliances,199.99,85,237
1043,Jo Malone Cologne,Beauty,Fragrance,140,120,238
1044,Canada Goose Jacket,Apparel,Outerwear,995,30,239
1045,Breville Espresso Machine,Home & Kitchen,Coffee Makers,599.99,35,240
1046,Gucci Belt,Apparel,Accessories,450,65,241
1047,Samsung QLED TV,Electronics,Televisions,1499.99,25,203
1048,Louis Vuitton Wallet,Apparel,Accessories,650,40,242
1049,Rolex Submariner,Apparel,Watches,8995,5,243
1050,Hermes Scarf,Apparel,Accessories,450,50,244
1051,Tiffany Bracelet,Apparel,Jewelry,1200,30,245
1052,Patek Philippe Watch,Apparel,Watches,25000,2,246
1053,Birkin Bag,Apparel,Handbags,12000,3,247
1054,Vertu Phone,Electronics,Mobile Phones,5000,10,248
1055,Crystal Champagne Glasses,Home & Kitchen,Glassware,250,80,249
1056,Diamond Earrings,Apparel,Jewelry,5000,15,250
1057,Gold Necklace,Apparel,Jewelry,2500,20,251
1058,Platinum Ring,Apparel,Jewelry,3500,18,252
1059,Custom Gaming PC,Electronics,Computers,3500,12,253
1060,Luxury Office Chair,Home & Kitchen,Furniture,1200,25,254
1061,Designer Sofa,Home & Kitchen,Furniture,5000,8,255
1062,Smart Mirror,Electronics,Smart Home,1500,30,256
